Job Class,Link
Management,https://en.wikipedia.org/wiki/Management
Business and Financial operations,https://www.bls.gov/oes/2017/may/oes130000.htm
Computer and Mathematical,https://www.onetoline.org/find/family?f=15
Architecture and Engineering,https://www.bls.gov/ooh/architecture-and-engineering/home.htm
"Life, Physical and Social Science",https://www.bls.gov/oes/current/oes190000.htm
Community and Social Service,https://www.careers.org/occupations/field/21/community-and-social-services
Legal,https://www.bls.gov/ooh/legal/home.htm
"Education, training and library",https://www.bls.gov/ooh/education-training-and-library/home.htm
"Arts, design, entertainment, sports and media",https://www.bls.gov/oes/current/oes270000.htm
Healthcare practioners and technical,https://www.bls.gov/oes/current/oes290000.htm
Healthcare support,https://www.bls.gov/oes/2016/may/oes310000.htm
Protective service,https://www.bls.gov/oes/2017/may/oes330000.htm
Food preparation and serving,https://www.bls.gov/ooh/food-preparation-and-serving/home.htm?view_full
Building and grounds cleaning and maintenance,https://www.bls.gov/oes/current/oes370000.htm
Personal care and service,https://www.bls.gov/ooh/personal-care-and-service/home.htm
Sales,https://www.bls.gov/ooh/sales/home.htm
Office and administrative support,https://www.bls.gov/ooh/office-and-administrative-support/home.htm
"Farming, fishing and forestry",https://www.bls.gov/ooh/farming-fishing-and-forestry/home.htm
Construction and extraction,https://www.bls.gov/oes/2017/may/oes470000.htm
"Installation, maintenance and repair",https://www.bls.gov/ooh/installation-maintenance-and-repair/home.htm
Production,https://www.bls.gov/oes/current/oes510000.htm
Transportation and material moving,https://www.bls.gov/oes/current/oes530000.htm
